song,artist,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Say Love,"Julian Jordan, Sj",spotify:track:03b6jFOFmLJ3TnuCgfhO1L,0.591,0.767,-7.304,0.0462,0.0131,0.000452,0.146,0.201,118.13,160971
Sixes,D.O.D,spotify:track:1NQcFF1frcwdZZGhaMEYH4,0.729,0.998,0.042,0.0693,0.000641,0.244,0.0586,0.732,126.016,153214
We Are the Night,"Madison Mars, Sanjana Ghosh",spotify:track:1vpmgSYyCTsfWM2WG1eC2L,0.594,0.901,-1.951,0.0447,0.0438,0.0,0.425,0.493,125.995,226000
Pass You By,The Aston Shuffle,spotify:track:2nuqUuyXmNm0tMZRUKMMFO,0.66,0.883,-3.457,0.111,0.0387,0.0,0.127,0.314,122.064,224762
Badboy Sound,Wolfgang Gartner,spotify:track:4eEemxoAd6D0Joui7Pj45h,0.617,0.958,-4.001,0.0592,5.02e-05,0.701,0.331,0.18,125.981,222867
Stardust,Heuse,spotify:track:5rIUNX5DPSsTODyvd01Kmt,0.789,0.785,-6.839,0.0713,0.123,0.128,0.105,0.238,145.014,145957
Now You Know (feat. Aloma Steele),"Trivecta, Eminence, Aloma Steele",spotify:track:0daoEpTjVv31xcwL91TOj4,0.514,0.889,-6.52,0.177,0.126,0.000267,0.143,0.666,150.041,224000
Choices,PatrickReza,spotify:track:4fXDrj7HAt9orHFb5piqmz,0.653,0.862,-4.312,0.0903,0.0201,0.00505,0.2,0.36,149.901,188800
I Miss You - Radio Edit,Tom Reason,spotify:track:19W7ZsIBH9wsKYlIsZw4eh,0.791,0.804,-3.906,0.0515,0.0955,2.82e-05,0.271,0.629,123.006,208781
Follow Me,"Murtagh, Aiobahn",spotify:track:6usqiyNJK6SMMP5XQugvtQ,0.575,0.849,-6.95,0.0344,0.0355,0.195,0.133,0.0621,127.983,258765
Love Somebody,Jus Jack,spotify:track:2ynT6dhAXMJObDuEoqf6Pw,0.707,0.884,-6.477,0.0394,0.0722,3.69e-06,0.291,0.261,120.019,175212
Paris - VINAI Remix,"The Chainsmokers, VINAI",spotify:track:38zBSToHFCJVitG0y0KsLp,0.532,0.822,-3.309,0.0432,0.0648,0.0,0.356,0.335,99.962,218787
On My Mind,Disciples,spotify:track:5Xc74Dn1ZKH6H8XaVGOHXG,0.741,0.893,-2.549,0.0384,0.0435,3.19e-05,0.0371,0.733,122.056,185846
Young Once,"Fabian Mazur, Dia Frampton",spotify:track:3onU7NlWCyhq4sc1eGcFDJ,0.609,0.602,-6.338,0.0512,0.302,0.000495,0.0968,0.303,145.023,205241
Sorry For Myself,CADE,spotify:track:2loy3jeztxNAKlsc06wjTJ,0.611,0.841,-4.418,0.0806,0.0858,1.43e-06,0.334,0.436,101.979,174118
Landslide,Headhunterz,spotify:track:17sEmOaBjf4bjo6Zn7Rryk,0.598,0.832,-5.592,0.191,0.141,0.0,0.113,0.268,147.758,222058
It Ain't Me (with Selena Gomez),"Kygo, Selena Gomez",spotify:track:3eR23VReFzcdmS7TYCrhCe,0.64,0.533,-6.596,0.0706,0.119,0.0,0.0864,0.515,99.968,220781
Let Me Love You - R3hab Remix,"DJ Snake, Justin Bieber, R3HAB",spotify:track:7v7eZEhrTXG8TnBgvDZSDs,0.436,0.817,-2.799,0.107,0.0184,0.0,0.369,0.465,204.044,175000
What You Do To Me,"Not Your Dope, Oly",spotify:track:0M0tIIFxVxLu0VUDzFiCxe,0.599,0.941,-4.077,0.0505,0.0222,0.0155,0.0605,0.184,90.025,218681
Journey,Leat'eq,spotify:track:4y41gq6dMaZi8tgJSGjhno,0.627,0.969,-2.762,0.107,0.305,0.00527,0.0876,0.389,145.026,172138
Never Been Better,Steve Void,spotify:track:0EVbZWxLOZT1siPMzEGNwc,0.617,0.762,-3.616,0.0641,0.0739,0.0,0.912,0.581,159.858,175500
Just Dawn Hue,Herobust,spotify:track:0j4mEjICbdoBzUBkNdxJIa,0.519,0.76,-3.973,0.039,0.00217,0.00146,0.0833,0.194,150.141,232000
Mellow - Calvo Remix,"Showtek, Technoboy, Tuneboy, CALVO",spotify:track:73JMuZRQyElKfwC2CdlDoN,0.671,0.904,-4.055,0.0536,0.0114,0.0154,0.196,0.34,126.016,200000
The Stars Are Mine,"Chocolate Puma, Pep & Rash",spotify:track:3VCXT5xe0En7uTStyzf927,0.666,0.774,-5.915,0.0387,0.000985,0.0475,0.256,0.356,126.001,254286
Make U Love Me,Tujamo,spotify:track:4qEwtfyeCZkAsqLIkSFxO3,0.718,0.89,-3.931,0.144,0.139,0.00103,0.341,0.31,124.943,188160
Wake Up Alone (feat. Clara Mae),"Tungevaag, Raaban, Clara Mae",spotify:track:2vzBZ87UkwvkIycWEWFrYp,0.535,0.738,-7.085,0.137,0.146,0.0,0.0995,0.488,75.874,210004
Standing When It All Falls Down (feat. Roshi) - Official NiP Team Song,"John De Sohn, Roshi",spotify:track:0wyTaLdr1Rc0tMPpMTPUWD,0.545,0.733,-5.494,0.0479,0.00196,7.41e-06,0.0819,0.203,150.01,183193
In Your Arms,NERVO,spotify:track:52hMtU7Zz1WFYFU7QAw8Uk,0.547,0.834,-5.55,0.0759,0.00333,0.00627,0.11,0.101,140.026,202286
Tomorrow Sounds,"We Are Loud, Justin Prime, Grey MTTR",spotify:track:6D9nCUoUyLCIzCincfgFKO,0.509,0.91,-2.845,0.0395,0.00363,2.32e-06,0.522,0.59,149.85,197022
Analogue Soul,Shapov,spotify:track:7568942l4ZlqXoHcp3CH9A,0.523,0.865,-2.484,0.045,0.0432,0.0245,0.109,0.217,126.008,286191
Light - Grant Remix,"San Holo, Grant",spotify:track:1BYOkxynqwiDqw7cW53FEm,0.475,0.967,-3.153,0.123,0.024,7.22e-05,0.172,0.27,169.939,195536
Satellites,DubVision,spotify:track:5GKPxzqKQgQpCCOjtFwZ2d,0.638,0.828,-4.53,0.0393,0.043,0.0,0.0903,0.0985,122.037,196132
Droppin' Low,Stonebank,spotify:track:6s4M55bK1BXflaZ53L7ATP,0.723,0.93,-4.91,0.257,0.0232,0.108,0.397,0.494,127.993,213047
Find You,Wahlstedt,spotify:track:16xbHKUrjJgx4gmOhvGo9Y,0.738,0.646,-5.384,0.0611,0.149,0.00157,0.162,0.417,125.923,190476
Blame - Gorgon City Remix,"Zeds Dead, Diplo, Gorgon City, Elliphant",spotify:track:60k9VrVPa0Q74LE3biaJRf,0.814,0.9,-6.898,0.0836,0.00647,0.123,0.0345,0.791,124.981,295920
Headrockers,Luca Debonaire,spotify:track:0kM2kOlIWvPqtwOYTFylSB,0.69,0.989,-1.368,0.0573,0.000205,0.907,0.904,0.349,124.007,193548
Worldwide,Matt Strike,spotify:track:6RuSu1240z1aoNIQrHuQXy,0.571,0.845,-4.78,0.0552,0.00552,2.81e-06,0.853,0.723,144.978,139899
Secrets (with Conrad Sewell),"CID, Conrad Sewell",spotify:track:41yeIZy9qF9ZPHuZpV0qlE,0.629,0.835,-2.452,0.0817,0.137,9.62e-06,0.308,0.673,122.998,183182
Hit The Road Jack,Throttle,spotify:track:5o04dkaIX0dkryvBXngHaS,0.768,0.886,-2.738,0.152,0.107,0.000222,0.121,0.58,123.052,197073
Digital Love (feat. Hailee Steinfeld),"Digital Farm Animals, Hailee Steinfeld",spotify:track:0qwa6Mm9oZWLhGitD2Jfnq,0.701,0.786,-4.429,0.0512,0.00606,0.0,0.0835,0.514,100.932,179507
Coffee Can Money (feat. RUNAGROUND),"Borgeous, MORTEN, RUNAGROUND",spotify:track:5dkwiG1BobrRzlumWc8LsC,0.641,0.71,-5.27,0.0391,0.0169,4.5e-05,0.107,0.59,90.019,227504
Rock n Roll,Dropout,spotify:track:5D2JQe47miFPptnYAWSZes,0.29,0.668,-4.04,0.074,0.159,0.0,0.187,0.388,76.617,214441
Only One - Blonde vs Sigala Remix,"Sigala, Digital Farm Animals, Blonde",spotify:track:1FzotUdgjRe8KAJGyca6Lc,0.634,0.855,-4.9,0.0514,0.00786,0.132,0.124,0.392,124.989,336533
Side To Side - Slushii Remix,"Ariana Grande, Nicki Minaj, Slushii",spotify:track:09yLdUZdymzX8iocIUxem5,0.554,0.867,-2.79,0.053,0.095,5.83e-05,0.102,0.418,150.066,202440
Enigma,Maximals,spotify:track:0Oc76nn657fS0V6PiFFzHB,0.675,0.877,-5.904,0.207,0.002,0.76,0.25,0.615,128.088,169000
Be,"DUAL CHANNELS, TwoNotty, Freack",spotify:track:12Kj7WxorAFZBMhHBFM5wT,0.886,0.542,-6.802,0.1,0.0585,0.443,0.141,0.273,122.996,261463
Fill Me In,"Loud Luxury, Ryan Shepherd",spotify:track:4mIgMODzoKcvBnHeehLctZ,0.745,0.704,-7.306,0.042,0.0516,0.000683,0.153,0.393,124.02,219855
Lies - Extended Edit,"Tom & Hills, Cosmos & Creature",spotify:track:0f0h5VWevNC65p90820bWI,0.658,0.874,-2.944,0.0468,0.0298,0.0011,0.0789,0.356,125.981,266667
Tunnel Vision - Don Diablo Edit,"Zonderling, Don Diablo",spotify:track:5xL84TYVoMCJZc3ZIv50x4,0.763,0.913,-4.1,0.112,0.234,0.453,0.11,0.363,125.999,215476
Oceans,"CAZZETTE, Leo Stannard",spotify:track:3wbgLMlONnYx7TSLZoEyzW,0.647,0.827,-5.951,0.0528,0.0187,1.15e-05,0.0949,0.216,123.954,195000
Heart Won't Forget - Luca Schreiner Remix,"Matoma, Gia Woods, Luca Schreiner",spotify:track:0CONLQj9AzQwJTPJPYfHkg,0.592,0.913,-4.89,0.0971,0.00444,0.0,0.136,0.185,117.965,180522
Annalog,Zonderling,spotify:track:34wvRK2nYgLFbI3MVhyUzg,0.588,0.904,-4.809,0.112,0.354,0.848,0.0987,0.253,126.012,218214
Otherside,"Suyano, RIVERO",spotify:track:3jBfstouj0Me6KvwNOafa6,0.546,0.772,-5.311,0.0477,0.306,0.0,0.0733,0.251,127.942,191250
Feel It (feat. Tunji Ige) - Boxinbox & Lionsize Remix,"Good Times Ahead, What So Not, Tunji Ige, BOXINBOX",spotify:track:3uWmeBkOpFVjPdJq7mGOnx,0.619,0.905,-4.101,0.0394,0.00556,2.74e-05,0.184,0.233,104.994,219429
I Don't Wanna Go Home,Oliver Heldens,spotify:track:47ku2WULKpUQEW9dT6IODI,0.696,0.856,-4.23,0.0562,0.0168,0.0301,0.0542,0.602,125.006,201615
Droppers,BROHUG,spotify:track:6YKdT4TbzRHPjv2NOAviwO,0.726,0.966,-3.557,0.0818,0.0221,0.841,0.109,0.748,124.975,192000
Get Low - Sander Kleinenberg Remix,"James Vincent McMorrow, Sander Kleinenberg",spotify:track:3Jfn6xlavLtZMeMi6xd7Ax,0.714,0.453,-7.243,0.139,0.269,0.00399,0.112,0.29,149.943,249897
Need To Feel Loved,"Sander van Doorn, LVNDSCAPE",spotify:track:6AMrmGPBVfqU1Xsi6d1oqm,0.712,0.744,-6.457,0.031,0.0032,0.458,0.271,0.39,124.04,224516
Helix,WE ARE FURY,spotify:track:3l3gFgY9U4zpROcbtQQFJU,0.568,0.836,-6.466,0.0428,0.0402,0.128,0.115,0.191,159.988,198039
You're The One,"Vorwerk, Mazare, Matthew Steeper",spotify:track:6wRXzNyQvkBb0kTaNXyQlC,0.359,0.819,-3.718,0.0723,0.184,0.0,0.18,0.451,145.005,193655
Let You Get Away - Live Mix,"Shaun Frank, Ashe",spotify:track:6OwvadGMTlAVjKeiN707bA,0.582,0.597,-6.12,0.0397,0.00988,0.00021,0.11,0.21,168.022,244286
Can't Take It,"Breathe Carolina, Bassjackers, CADE",spotify:track:5IiDjZUj8S6oLAxcsQjfTI,0.591,0.881,-4.073,0.0614,0.0316,0.00203,0.303,0.153,128.076,185171
Closer,"Qulinez, Koko LaRoo",spotify:track:2ttXLZsuOSfHIGgRU4tHBH,0.672,0.655,-5.912,0.101,0.0713,0.0,0.397,0.364,114.827,193997
Always,"Julian Jordan, CHOCO",spotify:track:6KAxA9E0NrdgVZrH7L3Dm4,0.56,0.794,-5.588,0.0412,0.0269,3.34e-05,0.118,0.121,143.138,166250
Beats Do Work,Shapov,spotify:track:2b4oOStIdmBO8qAsUqVn3z,0.736,0.977,-2.704,0.0461,0.54,0.433,0.126,0.774,125.982,194286
Habitat,AV AV AV,spotify:track:0xvflckQJc3Y5J6keyJLnd,0.457,0.651,-11.839,0.0818,0.0361,0.788,0.263,0.0391,119.802,356120
Balearic Balls,Above & Beyond,spotify:track:3o48WRK2behguFm43RAkcQ,0.505,0.962,-6.658,0.0397,0.00579,0.897,0.667,0.442,128.006,230632
Just Wanna Be With You,Janieck,spotify:track:0GOHKsjFqfxVTZPvCgZxHg,0.795,0.709,-5.443,0.0674,0.112,3.7e-06,0.155,0.624,121.983,151758
All I Want,"Alok, Liu, Stonefox",spotify:track:40ydUI6moZMoOd65wbf6oz,0.673,0.696,-7.517,0.125,0.185,0.0122,0.173,0.635,123.922,159075
Fire - Paris Blohm Remix,"3LAU, Said the Sky, Paris Blohm",spotify:track:51rldgwJawa5JVtWLeVMhc,0.613,0.925,-1.579,0.0622,0.00383,1.52e-06,0.0913,0.467,154.908,193552
I Need You (feat. Olaf Blackwood) - Club Mix,"Armin van Buuren, Garibay, Olaf Blackwood",spotify:track:20mwBntYZh41Tc0II4FNYR,0.583,0.934,-6.177,0.0836,0.0042,0.0117,0.184,0.153,127.947,196875
Heart Of Steel,"Raiden, Bright Lights",spotify:track:5HI8Cc6mjgewOXmnrZAbYX,0.545,0.805,-2.097,0.0455,0.0662,0.0,0.107,0.427,134.027,207090
Phoenix,Funkin Matt,spotify:track:0klyFbEQjo8m0ndeiVtqPF,0.787,0.64,-8.632,0.0592,0.0367,0.862,0.0848,0.268,121.938,229808
Is It Over - BL3R Remix,"Disco Fries, Shanahan, SHY Martin, BL3R",spotify:track:6bVKuoE2uyoHbhvYTzBeYu,0.616,0.75,-7.655,0.0598,0.0241,0.00125,0.13,0.38,144.072,193333
Candy,John Dahlbäck,spotify:track:7KwC9uxFf0zFnNwRFa2pfg,0.649,0.929,-3.783,0.0493,0.131,0.131,0.568,0.193,124.982,189120
YOU DON'T STOP,Quintino,spotify:track:0itrN7PKuEu9VGlYdXzP7F,0.631,0.913,-5.074,0.0519,0.0434,0.0976,0.0611,0.533,150.056,185600
I Still Recall,Slushii,spotify:track:4bDLPM8xumo7gXl71QDtkg,0.553,0.699,-4.403,0.0572,0.699,4.17e-06,0.0996,0.226,147.081,192253
Talk About It (feat. Desirée Dawson),"Pegboard Nerds, Desiree Dawson",spotify:track:6x0GHgv2iCpXf8w9VsrZCi,0.6,0.872,-4.102,0.0536,0.0141,0.00231,0.865,0.657,139.999,236198
Break Of Dawn,"Breathe Carolina, Swede Dreams",spotify:track:1tlY5MLio7VBWAyHlDLGUh,0.563,0.945,-2.493,0.086,0.0454,0.00014,0.469,0.278,127.956,174375
Dust To Gold,"Pyrodox, Ina",spotify:track:19GbeVKEyuK1XJrcl82vWf,0.364,0.624,-4.394,0.0402,0.18,2.14e-05,0.158,0.207,140.379,156871
Burn Break Crash - Madison Mars Remix,"Aanysa, Snakehips, Madison Mars",spotify:track:0gyQR8SQvI9BqquYz1IkHI,0.611,0.855,-1.824,0.0754,0.188,0.0,0.117,0.529,125.933,223000
On My Way,"Tiësto, Bright Sparks",spotify:track:4hiUYb2nb6NlfTP9CD38Pe,0.629,0.764,-4.023,0.036,0.00981,0.0,0.221,0.577,123.972,183710
Waist Time,"Diplo, Autoerotique",spotify:track:7vF8mrEoBOq8sdf0BlIfGF,0.714,0.989,-1.73,0.195,0.0093,0.103,0.0476,0.681,128.04,198750
I Miss You,"Grey, Bahari",spotify:track:1sl5tSzfK1JrcQIcA8rYDy,0.65,0.764,-5.219,0.0939,0.368,0.0,0.12,0.704,102.01,192320
Better Versions Of Myself,Thomas Gold,spotify:track:3Hp1mLXM0BzeRhJI9ZLuCO,0.66,0.709,-5.497,0.0425,0.215,4.16e-05,0.146,0.471,148.03,158500
Blame - Dave Winnel Remix,"Bastille, Dave Winnel",spotify:track:32Yhi4WMLFmh4Db83u9RpH,0.537,0.72,-4.635,0.14,0.0764,0.0153,0.0901,0.6,126.044,234080
Alone - Mesto Remix Radio Edit,"NERVO, Askery, Brielle Von Hugel, Mesto",spotify:track:5fmlw9R1xLE1Ypao79OWNL,0.643,0.836,-4.713,0.056,0.043,0.00019,0.0605,0.239,128.047,197827
Stardust,Univz,spotify:track:0f3Wr8znlK2rvU1EDmPGRj,0.56,0.932,-3.532,0.249,0.00402,0.00153,0.0681,0.0457,150.05,230400
Habit - T-Mass Remix,"Rain Man, Krysta Youngs, T-Mass",spotify:track:3KnfmUG7myogilSxuBcDA6,0.439,0.829,-2.969,0.0679,0.174,0.0,0.391,0.375,149.932,233617
Stand By Me - SayMyName Remix,"VINAI, Streex, Micky Blue, SAYMYNAME",spotify:track:20S7eB1HqIwXMU0jieH06U,0.527,0.903,-2.514,0.0893,0.0118,0.00013,0.137,0.0921,145.069,193655
Run Away,"Diamond Pistols, Ian Everson",spotify:track:4gAIzLzXWFJM9XfYpmvulv,0.409,0.878,-5.286,0.241,0.0167,2.45e-05,0.273,0.465,149.681,206400
Solo Dance,Martin Jensen,spotify:track:6HUnnBwYZqcED1eQztxMBN,0.744,0.836,-2.396,0.0507,0.0435,0.0,0.194,0.36,114.965,174933
Bambini,Mike Williams,spotify:track:3p3XKoz87Ihxhqw6Uj9fr9,0.477,0.916,-4.94,0.037,0.000763,0.684,0.124,0.112,127.99,162187
Good 2 Go (feat. Tylor Maurer),"Rootkit, Tylor Maurer",spotify:track:1LPVrgum6yo7F19g9LUUvE,0.735,0.941,-3.54,0.144,0.00115,0.597,0.116,0.495,125.004,222720
Let's Give It A Shot,"Boehm, Brandyn Burnette",spotify:track:1v2rXm8xc7vnT4oawq1mm3,0.769,0.776,-6.776,0.0913,0.0667,0.00035,0.11,0.545,129.98,187269
Jump On It,"Sebastien Drums, ADN",spotify:track:3UhfDrNUMkRACLtUXAouDZ,0.662,0.925,-3.324,0.146,0.00629,0.0,0.0753,0.327,108.013,183150
Strong Ones - Orjan Nilsen Extended Remix,"Armin van Buuren, Cimo Fränkel, Orjan Nilsen",spotify:track:2iCSlrOonXlSZe2IWea0k0,0.577,0.811,-4.118,0.0945,0.00149,0.00177,0.375,0.253,127.953,347000
The Noise - Radio Edit,Fedde Le Grand,spotify:track:5S98Swh2O1mSGko6VRQzMB,0.719,0.952,-4.106,0.0594,0.0516,0.665,0.231,0.516,127.987,182787
Rebound,Julian Jordan,spotify:track:0JfoyDoXdGIlkPqZdyoQSg,0.636,0.905,-6.367,0.0402,0.00103,0.906,0.105,0.273,128.021,217549
Anywhere (feat. Will Heard) - LUCA LUSH Remix,"Dillon Francis, Will Heard, Luca Lush",spotify:track:1GSnEOIzMyjkxjGA4eONpS,0.661,0.748,-5.321,0.0687,0.184,0.000804,0.41,0.228,130.027,186520
Drowning,"Justin Prime, We Are Loud",spotify:track:0GMYgE0fR0QrTtXVSVeh9I,0.553,0.881,-2.39,0.161,0.143,0.000662,0.0737,0.316,150.027,185013
My Love,Fabian Mazur,spotify:track:2ic02TIyyHm83GXrfxAbtN,0.628,0.789,-5.373,0.0571,0.0157,1.73e-05,0.0815,0.109,139.971,198857
Keys,"CMC$, Jalise Romy",spotify:track:1T2luyE0X4tB9DuQc6mR3Q,0.569,0.509,-6.739,0.0507,0.29,0.0,0.0905,0.205,139.861,217957
Frameworks,MitiS,spotify:track:47FSxpd4W61TARPc81Fgks,0.51,0.89,-4.18,0.0334,0.329,0.0442,0.105,0.119,150.011,288000
Fill Me In - AFTR:HRS Mixcut,"Loud Luxury, Ryan Shepherd",spotify:track:1Th5b8AsauED9F7pGv8Yxi,0.757,0.68,-8.988,0.041,0.0168,0.0155,0.275,0.249,122.772,281493
House Party,Madison Mars,spotify:track:6ezV0P9I4XjlHN96dB1PaR,0.726,0.971,-2.953,0.133,0.0126,0.0898,0.43,0.215,126.024,188000
Memory,Julian Jordan,spotify:track:3yBOkkD1VrzhqR0W1CZX3W,0.738,0.918,-5.105,0.111,0.000524,0.888,0.0938,0.305,128.031,183281
Anywhere (feat. Will Heard) - A-Trak Remix,"Dillon Francis, Will Heard, A-Trak",spotify:track:6PZxVoICRIWx7SmyvwQkRG,0.62,0.907,-4.956,0.073,0.00351,6.77e-05,0.15,0.447,123.048,195360
Aether,Zookeepers,spotify:track:13udWxBWfAk2zkIbuPNDxD,0.428,0.9,-7.169,0.0385,0.000981,0.869,0.107,0.0905,75.008,246400
What About The Love,Sam Feldt,spotify:track:2FfyiTnl5OPa1hYdCWZGdG,0.712,0.634,-5.158,0.035,0.0262,9.1e-06,0.0918,0.277,125.988,191266
Oracle,Timmy Trumpet,spotify:track:5oGm8Hm6sUQIlGu0X0p6xS,0.689,0.77,-5.646,0.0485,0.041,0.173,0.113,0.161,140.079,180155
Boogie Wonderland,Mr. Belt & Wezol,spotify:track:45oDOw8InylWBtszEH8pWm,0.724,0.891,-4.275,0.047,0.00448,0.0108,0.158,0.717,124.061,168196
Secret Stash - The Him Remix,"Mike Mago, Dragonette, The Him",spotify:track:0dvqOHMJWwLZLERrtO3OTH,0.629,0.845,-3.467,0.114,0.00246,0.0735,0.0961,0.246,126.025,206190
Find Love,"Julian Jordan, Rayvon Owen",spotify:track:76J7LFFqfPPZBOgjIOJY4J,0.51,0.686,-6.183,0.0947,0.00466,0.000828,0.0942,0.395,127.941,204250
Flashlight,"Armin van Buuren, Orjan Nilsen",spotify:track:5fT3jgdhQZGkfLhtKBf3mo,0.483,0.928,-5.121,0.0491,0.000866,0.767,0.199,0.689,128.006,186508
Static - CAZZETTE x Supernatet Remix,"CAZZETTE, Supernatet",spotify:track:18fpFWtDFVuyrRXcw0Gttn,0.644,0.711,-5.491,0.0305,0.000337,0.0425,0.264,0.306,124.984,242863
Prophecy (BadJokes Remix),"Tchami, Malaa, Badjokes",spotify:track:0gyCu7PjTjlmKqW3L6mR4y,0.785,0.896,-2.83,0.0538,0.102,0.518,0.225,0.501,128.969,245581
I Would Like - R3hab Remix,"Zara Larsson, R3HAB",spotify:track:6gXTlkZQjtNo5j3Kp86H4G,0.672,0.763,-3.864,0.0565,0.0728,0.0,0.135,0.318,139.94,147000
Setting Fires - Vanic Remix,"The Chainsmokers, XYLØ, Vanic",spotify:track:4Cka9hWfkA8o0N8m0tPR0g,0.572,0.738,-6.051,0.0604,0.00515,0.0,0.194,0.656,105.118,169587
Mighty Fun Splasher,Going Deeper,spotify:track:6KHK5DrITtVdA9TKPCVBFN,0.626,0.913,-4.1,0.0501,0.00929,0.471,0.369,0.208,125.015,241080
Chords Of Life - Original Mix,Tim Mason,spotify:track:6jlAVoiJJCXuNkRRph3HJT,0.605,0.642,-7.002,0.0411,0.00388,0.598,0.102,0.159,125.967,325714
Talisman,"Breathe Carolina, Olly James",spotify:track:47MWnowjutQ4XzGoRAwMur,0.543,0.935,-4.234,0.0846,0.00122,0.219,0.167,0.12,127.885,168764
Candy,John Dahlbäck,spotify:track:6wJpCQdCjtcPYRapvq2S6o,0.649,0.929,-3.783,0.0493,0.131,0.131,0.568,0.193,124.982,189120
Stand Up,Bob Sinclar,spotify:track:2Ua2W5HQsXDPHyQLTQVSNS,0.633,0.991,-2.657,0.045,0.00486,0.855,0.22,0.751,123.966,177154
All We Know (feat. Phoebe Ryan) - Oliver Heldens Remix,"The Chainsmokers, Phoebe Ryan, Oliver Heldens",spotify:track:5sWevAyvYSRzGpIsdsRvJi,0.711,0.8,-5.852,0.0303,0.00158,0.0513,0.314,0.43,124.009,184253
U,"Michael Brun, Ben Alessi",spotify:track:5HtYnpD0mmcDE7HskexxqP,0.708,0.833,-4.024,0.035,0.147,0.000407,0.0725,0.424,125.028,195463
Sharpest Weapon,"tyDi, MORTEN, Cameron Walker",spotify:track:0b1jk0dFk8VeLdutJKms2Y,0.336,0.743,-3.179,0.107,0.141,0.0,0.125,0.197,170.007,183529
Diving with Whales,Nora En Pure,spotify:track:0iQEVIpnqbdrwb1DRdNgov,0.767,0.859,-5.878,0.0467,0.187,0.846,0.114,0.0781,122.997,206829
Changes,Gramercy,spotify:track:4YPylfhZVoVDzK2kqlMP7p,0.466,0.682,-9.648,0.0355,0.00273,2.69e-05,0.0972,0.323,125.97,194090
Alone,"NERVO, Askery, Brielle Von Hugel",spotify:track:6lleIAN56IAz33fiFYBtic,0.596,0.712,-6.448,0.0531,0.0718,0.0,0.0932,0.306,140.044,175039
Gosha - Gosha,"Micha Moor, Def Rock",spotify:track:3OFHbxy9bseqtHWugf5tSx,0.688,0.911,-4.884,0.0942,0.0214,0.714,0.157,0.652,127.981,251083
Magic - ANGEMI Remix,"Thomas Gold, Jillian Edwards, Angemi",spotify:track:6mOQo2olTdjgvIL9Qx2x6B,0.551,0.705,-4.861,0.0377,0.0303,0.00134,0.212,0.298,140.019,202000
Everything - VIP Remix,"R3HAB, Skytech",spotify:track:4pROLgIeqR6zDUgdBOdFvn,0.526,0.726,-4.186,0.115,0.163,0.0,0.119,0.262,149.863,145000
C’mon - Maestro Harrell 2016 Remix,"Tiësto, Diplo, M A E S T R O",spotify:track:1y0ZrNrMWG17p9S08IJOf8,0.624,0.963,-5.089,0.0734,0.00299,0.387,0.0574,0.112,127.931,180001
Liberty,Dzeko,spotify:track:7fBu03XWGASzHCCREGi3UT,0.645,0.903,-5.154,0.191,0.112,0.00465,0.283,0.321,121.989,184914
Devotion,Wolfgang Gartner,spotify:track:2hKPbIKR8gRd0t9tACyDHJ,0.591,0.913,-3.443,0.0479,0.0277,0.0,0.24,0.66,126.997,175984
Let Me Love You - Don Diablo Remix,"DJ Snake, Don Diablo, Justin Bieber",spotify:track:1ct6OPNfDZC0xIKehTJZM5,0.68,0.853,-3.171,0.0699,0.0107,0.000246,0.11,0.284,125.908,266680
Watch Me DVB,Aquadrop,spotify:track:4Iq39EN4d0sWAp3WbhDCpH,0.526,0.946,-3.752,0.323,0.0975,0.0,0.377,0.6,159.901,220137
Don't Wait,"KO:YU, Example",spotify:track:6tVxacTmzSig2s1ksPavjf,0.604,0.923,-3.281,0.0375,0.0138,1.44e-06,0.0647,0.151,104.96,208571
Sandcastles (ToWonder X Severo Remix),Adam Jensen,spotify:track:7z8tXwlAGLaiQStbNvqeIa,0.613,0.825,-2.717,0.187,0.245,0.0,0.245,0.402,150.072,214400
Be Okay,"Swanky Tunes, Going Deeper, Boogshe",spotify:track:3V5Mjt4HJNGqjW2hfeFkhs,0.701,0.838,-3.428,0.0437,0.0337,0.0,0.106,0.825,149.978,177701
Sweet Memories - MOGUAI Remix,"CID, Kaskade, Moguai",spotify:track:6zpF6mxrK3pN5PE9SU4yZG,0.719,0.715,-6.696,0.0584,0.224,0.000429,0.106,0.209,124.993,295680
Close - Brooks Remix,"IZECOLD, Molly Ann, Brooks",spotify:track:0xr8RB4uOrqbmpndeoC7rO,0.682,0.936,-3.934,0.0578,0.00325,0.00555,0.237,0.207,128.023,230156
Chá Preto,BLR,spotify:track:3ozmi93uChJ1WPB4rILem5,0.771,0.907,-4.799,0.0484,0.224,0.399,0.0915,0.114,119.972,194000
Know My Love - MazZz & Constantin Remix,"Matt Nash, MazZz, Constantin",spotify:track:7gjWpvpEl0rJEmfYjaDTJc,0.653,0.886,-2.854,0.0439,0.0177,0.0543,0.0528,0.521,125.982,172699
Not Alone,Otto Knows,spotify:track:7tx0NDsCViutjOyd1c4A28,0.68,0.721,-6.21,0.0355,0.00538,0.000216,0.0679,0.267,122.0,215447
Three Pound Chicken Wing,deadmau5,spotify:track:4V5LPHyAOcUERXXD2NngT5,0.875,0.523,-7.663,0.0643,0.00134,0.869,0.232,0.0338,128.009,382730
